"ID","Area","Feature","User Story","Expected Behavior (from code)","Code Refs","Status","Test Result","Issues Found","Fix Applied","Re-test Result"
"F151","Live Notes","Live Note panel (open)","As a user, I want a side panel to manage a note's live config, so that I can edit objective/triggers without touching frontmatter","The right-anchored panel listens for rowboat:open-live-note-panel, fetches live-note:get, and renders header (status pill + active switch), status strip, tabs and footer","apps/x/apps/renderer/src/components/live-note-sidebar.tsx:86; apps/x/apps/renderer/src/components/live-note-sidebar.tsx:103","Tested","Pass (traced)","","",""
"F152","Live Notes","Panel empty state (passive note)","As a user viewing a passive note, I want a ""Make this note live"" CTA, so that I can convert it via Copilot","When no live: block exists the panel shows a passive empty state whose CTA dispatches rowboat:open-copilot-edit-live-note and closes the panel","apps/x/apps/renderer/src/components/live-note-sidebar.tsx:265; apps/x/apps/renderer/src/components/live-note-sidebar.tsx:250","Tested","Pass (traced)","","",""
"F153","Live Notes","Objective view/edit","As a user, I want to read and edit the note's objective, so that I can change what the agent keeps the note being","The Objective tab renders the objective as markdown (Streamdown) and, when editing, a textarea bound to draft.objective with Escape-to-cancel and Save","apps/x/apps/renderer/src/components/live-note-sidebar.tsx:498; apps/x/apps/renderer/src/components/live-note-sidebar.tsx:383","Tested","Pass (traced)","","",""
"F154","Live Notes","Cron trigger editor","As a user, I want to set a cron schedule with a plain-English hint, so that I can refresh the note at exact times","The Details/Triggers editor exposes a cronExpr input with add/remove and a human-readable describeCron() label (e.g. ""Hourly, on the hour"")","apps/x/apps/renderer/src/components/live-note-sidebar.tsx:798; apps/x/apps/renderer/src/components/live-note-sidebar.tsx:43","Tested","Pass (traced)","","",""
"F155","Live Notes","Windows trigger editor","As a user, I want time-of-day windows, so that the note refreshes once per day inside a band whenever the app is open","The triggers editor lets users add/remove HH:MM start-end windows with regex validation; each window fires once per daily cycle anchored at startTime","apps/x/apps/renderer/src/components/live-note-sidebar.tsx:836; apps/x/packages/core/src/knowledge/live-note/scheduler.ts","Verified","Issue found","E17","E17: Validate end>start (or support wrap-around) and surface an inline error in the panel.","Verified — build green + adversarial code re-review"
"F156","Live Notes","Event-match trigger editor","As a user, I want to describe events to watch in natural language, so that the note updates when matching email/calendar events arrive","The triggers editor provides an eventMatchCriteria textarea (add/edit/remove); notes with it set become event-eligible for Pass 1 routing","apps/x/apps/renderer/src/components/live-note-sidebar.tsx:899; apps/x/packages/core/src/knowledge/live-note/event-consumer.ts","Tested","Pass (traced)","","",""
"F157","Live Notes","Schedule summary display","As a user, I want a one-line schedule summary, so that I quickly understand when a note refreshes","summarizeSchedule() condenses triggers into ""Manual only"" or a list of cron phrase, windows count/range, and ""events""","apps/x/apps/renderer/src/components/live-note-sidebar.tsx:47; apps/x/apps/renderer/src/components/live-note-sidebar.tsx:363","Tested","Pass (traced)","","",""
"F158","Live Notes","Active toggle in panel","As a user, I want an active switch in the panel header, so that I can pause/resume the note in context","The header Switch calls handleToggleActive to live-note:setActive and updates the paused pill/state","apps/x/apps/renderer/src/components/live-note-sidebar.tsx:187; apps/x/apps/renderer/src/components/live-note-sidebar.tsx:319","Verified","Issue found","E12","E12: In handleToggleActive only update the active flag and merge it into the existing draft (preserve other draft fields).","Verified — build green + adversarial code re-review"
"F159","Live Notes","Save live config","As a user, I want to save objective/trigger changes, so that the backend persists them safely without race conditions","handleSave validates draft against LiveNoteSchema then calls live-note:set, which writes the whole live: block via backend fileops (single-writer)","apps/x/apps/renderer/src/components/live-note-sidebar.tsx:156; apps/x/apps/main/src/ipc.ts:1432","Tested","Pass (traced)","","",""
"F160","Live Notes","Run now (manual run)","As a user, I want a Run now button, so that I can refresh the note immediately on demand","The footer Run-now button calls live-note:run to runLiveNoteAgent(filePath,'manual'), bypassing scheduler backoff","apps/x/apps/renderer/src/components/live-note-sidebar.tsx:209; apps/x/apps/main/src/ipc.ts:1413","Verified","Issue found","E15","E15: Check res.success/res.error in handleRun and setError on failure.","Verified — build green + adversarial code re-review"
"F161","Live Notes","Stop run (panel)","As a user, I want a Stop button while running, so that I can cancel a manual or scheduled run from the panel","While running the footer shows a destructive Stop button calling live-note:stop; the runner's failure branch records lastRunError and leaves the cycle unfired for retry","apps/x/apps/renderer/src/components/live-note-sidebar.tsx:219; apps/x/packages/core/src/knowledge/live-note/runner.ts","Tested","Pass (traced)","","",""
"F162","Live Notes","Last-run transcript tab","As a user, I want to inspect the agent's last run, so that I can see its summary and full tool transcript","The Last run tab fetches the run via runs:fetch by lastRunId and renders the timestamp, error/summary markdown, and a CompactConversation transcript","apps/x/apps/renderer/src/components/live-note-sidebar.tsx:663; apps/x/apps/renderer/src/components/live-note-sidebar.tsx:682","Tested","Pass (traced)","","",""
"F163","Live Notes","Last-run status strip","As a user, I want a status strip showing last-run time and trigger summary, so that I can confirm the note is current","A two-column strip shows relative ""Last run"" time (with ""- error"" when lastRunError) and the trigger summary","apps/x/apps/renderer/src/components/live-note-sidebar.tsx:350","Tested","Pass (traced)","","",""
"F164","Live Notes","Advanced model/provider override","As a power user, I want to override the model and provider for a note's agent, so that I can tune cost/quality per note","The Details tab's collapsed Advanced section exposes model and provider inputs (default to the global default) bound to the draft","apps/x/apps/renderer/src/components/live-note-sidebar.tsx:600","Tested","Pass (traced)","","",""
"F165","Live Notes","Convert to static note","As a user, I want to make a live note passive again, so that I can stop all automation while keeping the body","The Advanced danger zone's ""Convert to static note"" shows a confirm then calls live-note:delete to remove the entire live: block, preserving the body","apps/x/apps/renderer/src/components/live-note-sidebar.tsx:618; apps/x/apps/main/src/ipc.ts:1450","Tested","Pass (traced)","","",""
"F166","Live Notes","Edit with Copilot","As a user, I want to hand off live-note edits to Copilot, so that I can extend the objective in natural language","""Edit with Copilot"" dispatches rowboat:open-copilot-edit-live-note (handled in App.tsx via submitFromPalette) and closes the panel","apps/x/apps/renderer/src/components/live-note-sidebar.tsx:250; apps/x/apps/renderer/src/App.tsx:3920","Tested","Pass (traced)","","",""
"F167","Live Notes","Real-time run status (spinner)","As a user, I want live indication when an agent is running, so that buttons and labels reflect activity immediately","useLiveNoteAgentStatus subscribes to live-note-agent:events and keeps a Map<filePath,state>, auto-clearing completed entries after 5s; consumed by panel, list, and pill","apps/x/apps/renderer/src/hooks/use-live-note-agent-status.ts:26; apps/x/apps/main/src/ipc.ts:476","Tested","Pass (traced)","","",""
"F168","Live Notes","Reactive single-note live state","As a developer/UI, I want reactive live state for one path, so that toolbar labels stay fresh after runs and external edits","useLiveNoteForPath fetches live-note:get, refetches on run completion and workspace:didChange, and ticks each minute for relative-time labels","apps/x/apps/renderer/src/hooks/use-live-note-for-path.ts:48","Tested","Pass (traced)","","",""
"F169","Live Notes","Scheduled auto-refresh (cron/windows)","As a user, I want my live notes to refresh on their schedule automatically, so that they stay current without manual runs","A 15s scheduler scans knowledge/*.md, and for each active note where dueTimedTrigger matches (cron with 2-min grace, or window) and not in 5-min backoff, runs the agent with 'cron'/'window'","apps/x/packages/core/src/knowledge/live-note/scheduler.ts; apps/x/LIVE_NOTE.md:133","Verified","Issue found","E13","E13: Bump lastAttemptAt and wrap the whole run body so setup failures record lastRunError and the backoff anchor.","Verified — build green + adversarial code re-review"
"F170","Live Notes","Event-driven auto-update","As a user, I want notes to update when a relevant Gmail/Calendar event arrives, so that they react to new information","Gmail/Calendar sync emit events; a 5s consumer routes each (Pass 1 LLM) to event-eligible notes and runs the agent with 'event' + payload + a Pass 2 veto directive","apps/x/packages/core/src/knowledge/live-note/event-consumer.ts; apps/x/packages/core/src/knowledge/sync_gmail.ts; apps/x/LIVE_NOTE.md:147","Tested","Pass (traced)","","",""
"F171","Live Notes","Agent body synthesis","As a user, I want the agent to keep the note body well-organized, so that the note reads cleanly as it self-updates","The live-note agent reads the note, makes patch-style file-editText edits (rolling summary + freshest-first H2 sections unless objective overrides), never touches frontmatter, and ends with a 1-2 sentence lastRunSummary","apps/x/packages/core/src/knowledge/live-note/agent.ts; apps/x/packages/core/src/knowledge/live-note/runner.ts","Tested","Pass (traced)","","",""
"F172","Meetings","Meetings list view","As a user, I want a list of my meeting notes, so that I can find and open past meeting transcripts/summaries","MeetingsView lists .md files under knowledge/Meetings (recursive, mtime-sorted) with Note/Date/Updated columns and auto-reloads on workspace changes","apps/x/apps/renderer/src/components/meetings-view.tsx:1132; apps/x/apps/renderer/src/components/meetings-view.tsx:1142","Tested","Pass (traced)","","",""
"F173","Meetings","Take meeting notes / Stop button","As a user, I want a single button to start/stop meeting capture, so that I can record meeting notes quickly","The header button label/variant tracks transcription state (Take meeting notes / Starting / Stop recording / Stopping / Generating notes) and calls handleToggleMeeting","apps/x/apps/renderer/src/components/meetings-view.tsx:1249; apps/x/apps/renderer/src/App.tsx:5750","Tested","Pass (traced)","","",""
"F174","Meetings","Upcoming events (""Coming up"")","As a user, I want my upcoming calendar meetings shown above my notes, so that I can join/capture them in context","UpcomingEvents reads calendar_sync/*.json, normalizes events (drops cancelled/declined), filters to a today+3-day window, and renders day-grouped cards refreshing each minute","apps/x/apps/renderer/src/components/meetings-view.tsx:443; apps/x/apps/renderer/src/components/meetings-view.tsx:475","Tested","Pass (traced)","","",""
"F175","Meetings","Connect calendar CTA","As a user without a connected calendar, I want a connect prompt, so that I can enable upcoming-events display","When Google OAuth is not connected and there are no events, the section shows a ""Connect your calendar"" button opening the connections settings tab","apps/x/apps/renderer/src/components/meetings-view.tsx:603; apps/x/apps/renderer/src/components/meetings-view.tsx:454","Tested","Pass (traced)","","",""
"F176","Meetings","Now badge on in-progress events","As a user, I want a ""Now"" badge on a meeting happening currently, so that I can tell which to join","isEventNow() marks timed events whose start<=now<end (or +30min default) and renders a green Now badge with highlighted row","apps/x/apps/renderer/src/components/meetings-view.tsx:289; apps/x/apps/renderer/src/components/meetings-view.tsx:695","Tested","Pass (traced)","","",""
"F177","Meetings","Event details popover","As a user, I want event details on click, so that I can see time, location, organizer, attendees, and description","EventDetailsPopover shows formatted time, location, organizer, up-to-8 attendees, linkified description, and an ""Open in Google Calendar"" button (htmlLink)","apps/x/apps/renderer/src/components/meetings-view.tsx:783; apps/x/apps/renderer/src/components/meetings-view.tsx:818","Tested","Pass (traced)","","",""
"F178","Meetings","Join & take notes (split button)","As a user, I want to open the conference link and start capture together, so that joining and recording is one click","For events with a conferenceLink, SplitJoinButton's primary action calls triggerMeetingCapture(event,true) which opens the link and dispatches calendar-block:join-meeting","apps/x/apps/renderer/src/components/meetings-view.tsx:999; apps/x/apps/renderer/src/components/meetings-view.tsx:195","Verified","Issue found","E18","E18: Ignore/clear the pending event when already recording and clear pendingCalendarEventRef on stop.","Verified — build green + adversarial code re-review"
"F179","Meetings","Take notes only","As a user, I want to capture notes without opening the call, so that I can record without launching a conferencing app","The split button's dropdown / non-conference Mic button calls triggerMeetingCapture(event,false), capturing with the calendar event metadata but not opening the link","apps/x/apps/renderer/src/components/meetings-view.tsx:1082; apps/x/apps/renderer/src/components/meetings-view.tsx:762","Tested","Pass (traced)","","",""
"F180","Meetings","Calendar event linkage to note","As a user, I want the captured note tied to the calendar event, so that the summary uses the right title/attendees","triggerMeetingCapture stashes the event on window.__pendingCalendarEvent; the meeting note frontmatter records calendar_event JSON used later by meeting:summarize","apps/x/apps/renderer/src/components/meetings-view.tsx:195; apps/x/apps/renderer/src/hooks/useMeetingTranscription.ts:99","Tested","Pass (traced)","","",""
"F181","Meetings","Dual-channel audio capture","As a user, I want both my mic and the other participants captured, so that the transcript covers the whole conversation","start() captures mic via getUserMedia and system audio via getDisplayMedia (loopback), merging mic to ch0 and system to ch1 into stereo 16kHz PCM","apps/x/apps/renderer/src/hooks/useMeetingTranscription.ts:402; apps/x/apps/renderer/src/hooks/useMeetingTranscription.ts:523","Tested","Pass (traced)","","",""
"F182","Meetings","Cloud transcription (Deepgram)","As a user, I want accurate cloud transcription with diarization, so that speakers are separated and text is formatted","The default path streams PCM to Deepgram nova-3 (multichannel, diarize, smart_format) over a Solomon-authed or API-key WebSocket, labeling mic as ""You"" and diarized system speakers","apps/x/apps/renderer/src/hooks/useMeetingTranscription.ts:10; apps/x/apps/renderer/src/hooks/useMeetingTranscription.ts:470","Tested","Pass (traced)","","",""
"F183","Meetings","On-device transcription (whisper)","As a privacy-conscious user, I want local meeting transcription, so that audio never leaves my device","When the resolved meeting provider is whisper-local, start() opens an on-device whisper stream whose finals append as You/Other; ""none"" disables local-only meetings","apps/x/apps/renderer/src/hooks/useMeetingTranscription.ts:342; apps/x/apps/renderer/src/hooks/useMeetingTranscription.ts:288","Tested","Pass (traced)","","",""
"F184","Meetings","Local-only privacy enforcement","As a user toggling local-only mid-session, I want cloud transport to be cut, so that privacy mode is honored immediately","A transcription-config-changed event with privacy.localOnly closes any cloud WebSocket; assertCloudAllowed re-checks during connect and aborts to local","apps/x/apps/renderer/src/hooks/useMeetingTranscription.ts:233; apps/x/apps/renderer/src/hooks/useMeetingTranscription.ts:330","Tested","Pass (traced)","","",""
"F185","Meetings","Headphone detection + mic gating","As a user on speakers, I want the app to prevent audio bleed, so that the other party's voice isn't double-captured through my mic","detectHeadphones() heuristically detects output; on speakers the processor mutes the mic when system-audio RMS exceeds the gate threshold","apps/x/apps/renderer/src/hooks/useMeetingTranscription.ts:34; apps/x/apps/renderer/src/hooks/useMeetingTranscription.ts:546","Tested","Pass (traced)","","",""
"F186","Meetings","Live incremental transcript file","As a user, I want the transcript saved as it happens, so that I never lose notes if something crashes","Finals/interims coalesce per speaker and a debounced (1s) writer formats a frontmatter+transcript note and writes it to the dated meeting path","apps/x/apps/renderer/src/hooks/useMeetingTranscription.ts:158; apps/x/apps/renderer/src/hooks/useMeetingTranscription.ts:592","Tested","Pass (traced)","","",""
"F187","Meetings","Silence auto-stop","As a user, I want recording to auto-stop after long silence, so that I don't leave a session running after a meeting ends","Any transcript resets a 2-minute silence timer; on expiry onAutoStop fires to stop the session","apps/x/apps/renderer/src/hooks/useMeetingTranscription.ts:29; apps/x/apps/renderer/src/hooks/useMeetingTranscription.ts:477","Verified","Issue found","E16","E16: Arm the silence timer once at the start of recording so an all-silent session still auto-stops.","Verified — build green + adversarial code re-review"
"F188","Meetings","Transcription provenance frontmatter","As a user, I want the note to record how it was transcribed/diarized, so that I can trust whether cloud or local processing was used","provenanceRef writes transcription_provider/model, diarization_provider/mode, audio_uploaded, and identity-persistence fields into the note frontmatter (RFC 017)","apps/x/apps/renderer/src/hooks/useMeetingTranscription.ts:305; apps/x/apps/renderer/src/hooks/useMeetingTranscription.ts:78","Tested","Pass (traced)","","",""
"F189","Meetings","AI meeting summary on stop","As a user, I want polished meeting notes generated when I stop, so that I get a summary above the raw transcript","On stop, App reads the note, extracts start time + calendar_event, calls meeting:summarize, and prepends the cleaned notes above the preserved transcript block","apps/x/apps/renderer/src/App.tsx:5750; apps/x/apps/main/src/ipc.ts:1252","Tested","Pass (traced)","","",""
"F190","Meetings","Screen-recording permission flow (macOS)","As a macOS user, I want a permission prompt before recording, so that system-audio capture works and I'm guided to settings","On macOS, handleToggleMeeting calls meeting:checkScreenPermission and, if not granted, shows a permissions dialog with a retry and an open-settings action","apps/x/apps/renderer/src/App.tsx:5809; apps/x/apps/main/src/ipc.ts:1228","Tested","Pass (traced)","","",""
"F191","Meetings","Failed-start feedback","As a user, I want a clear error if recording can't start, so that I know to fix mic/screen permissions","When start() returns null the source resets and a toast explains to check microphone and screen-recording permissions","apps/x/apps/renderer/src/App.tsx:5723","Tested","Pass (traced)","","",""
"F192","Meetings","Granola import/sync","As a Granola user, I want my Granola meeting docs imported, so that they appear alongside my Rowboat meeting notes","A 5-minute loop reads Granola's local token, fetches recent docs (7-day lookback), converts ProseMirror to markdown, and writes dated files under knowledge/Meetings/granola","apps/x/packages/core/src/knowledge/granola/sync.ts:329; apps/x/packages/core/src/knowledge/granola/sync.ts:525","Tested","Pass (traced)","","",""
"F193","Meetings","Granola sync enable/disable","As a user, I want to turn Granola sync on/off, so that I control whether Granola data is imported","The connector toggle reads granola:getConfig and writes granola:setConfig (enabled), toasting the new state; sync skips when disabled","apps/x/apps/renderer/src/hooks/useConnectors.ts:92; apps/x/apps/main/src/ipc.ts:968","Tested","Pass (traced)","","",""
"F194","Email","Inbox view (Important / Everything else)","As a user, I want my Gmail inbox split into Important and Everything else, so that I can triage what matters first","EmailView renders two paginated sections, loading Important first then Everything else once exhausted, with persisted state across panel switches","apps/x/apps/renderer/src/components/email-view.tsx:1109; apps/x/apps/renderer/src/components/email-view.tsx:1580","Tested","Pass (traced)","","",""
"F195","Email","Connect / reconnect email CTA","As a user, I want a connect (or reconnect) prompt, so that I can enable Gmail sync and actions","When gmail:getConnectionStatus shows not connected or missing scope, an empty state offers ""Connect/Reconnect your email"" opening the connections settings tab","apps/x/apps/renderer/src/components/email-view.tsx:1131; apps/x/apps/renderer/src/components/email-view.tsx:1617","Tested","Pass (traced)","","",""
"F196","Email","Infinite-scroll pagination","As a user, I want more threads to load as I scroll, so that I can browse my whole inbox cache","A SectionSentinel IntersectionObserver triggers loadNextPage per section (PAGE_SIZE 25) via gmail:getImportant / gmail:getEverythingElse with cursor","apps/x/apps/renderer/src/components/email-view.tsx:1272; apps/x/apps/renderer/src/components/email-view.tsx:1645","Tested","Pass (traced)","","",""
"F197","Email","Thread list rows","As a user, I want compact thread rows, so that I can scan sender, subject/summary, snippet, and time","renderRow shows an unread dot, sender name, thread summary or subject, snippet, and a relative time; unread rows are styled distinctly","apps/x/apps/renderer/src/components/email-view.tsx:1488","Tested","Pass (traced)","","",""
"F198","Email","Open/expand thread + mark read","As a user, I want clicking a thread to open it and mark it read, so that my unread count reflects what I've seen","toggleThread selects/deselects a thread, tracks up to MAX_KEPT_OPEN mounted details, and auto-marks unread threads read on open","apps/x/apps/renderer/src/components/email-view.tsx:1224","Tested","Pass (traced)","","",""
"F199","Email","Mark as read action","As a user, I want to mark a thread read without opening it, so that I can clear unreads quickly","The row's mark-read action optimistically updates state then calls gmail:markThreadRead","apps/x/apps/renderer/src/components/email-view.tsx:1184; apps/x/apps/main/src/ipc.ts:817","Verified","Issue found","E14","E14: Revert the optimistic unread flag and toast on failure, matching archive/trash.","Verified — build green + adversarial code re-review"
"F200","Email","Archive thread","As a user, I want to archive a thread, so that I can clear it from my inbox","The Archive row action calls gmail:archiveThread and removes the thread from local state on success (toast on failure)","apps/x/apps/renderer/src/components/email-view.tsx:1198; apps/x/apps/main/src/ipc.ts:811","Tested","Pass (traced)","","",""
"F201","Email","Delete/trash thread","As a user, I want to trash a thread, so that I can remove unwanted mail","The Delete row action calls gmail:trashThread and removes the thread from state on success","apps/x/apps/renderer/src/components/email-view.tsx:1211; apps/x/apps/main/src/ipc.ts:814","Tested","Pass (traced)","","",""
"F202","Email","Thread detail with collapsible messages","As a user, I want to read a full thread with expandable messages, so that I can focus on relevant messages","ThreadDetail renders an optional summary banner and a message stack where each message expands/collapses (latest expanded by default) showing avatar, from/to/cc, date","apps/x/apps/renderer/src/components/email-view.tsx:947; apps/x/apps/renderer/src/components/email-view.tsx:976","Tested","Pass (traced)","","",""
"F203","Email","Themed HTML / plain-text rendering","As a user, I want emails rendered faithfully, so that newsletters keep their look while plain replies adapt to my theme","HtmlMessageBody sandboxes HTML in an iframe, adapting unstyled mail to the app theme but keeping styled mail's ""paper"" look; plain text renders in a pre block","apps/x/apps/renderer/src/components/email-view.tsx:380; apps/x/apps/renderer/src/components/email-view.tsx:279","Tested","Pass (traced)","","",""
"F204","Email","Show/hide quoted text","As a user, I want to collapse quoted reply history, so that I see only the new content by default","Both HTML and plain bodies detect quoted regions and offer a toggle to reveal/hide quoted text","apps/x/apps/renderer/src/components/email-view.tsx:429; apps/x/apps/renderer/src/components/email-view.tsx:362","Tested","Pass (traced)","","",""
"F205","Email","Open attachments","As a user, I want to open email attachments, so that I can view downloaded files","MessageAttachments lists saved attachments with size; clicking opens the saved path via shell:openPath (toast on error)","apps/x/apps/renderer/src/components/email-view.tsx:479","Tested","Pass (traced)","","",""
"F206","Email","Reply / Reply all / Forward","As a user, I want to reply, reply-all, or forward, so that I can respond appropriately to a thread","Thread actions open ComposeBox in the chosen mode; reply-all only shows when buildRecipients yields extra recipients, and forward starts a fresh recipient list","apps/x/apps/renderer/src/components/email-view.tsx:1043; apps/x/apps/renderer/src/components/email-view.tsx:160","Tested","Pass (traced)","","",""
"F207","Email","Recipient chip fields (To/Cc/Bcc)","As a user, I want chip-based recipient editing with Cc/Bcc, so that I can manage addresses easily","RecipientField tokenizes input on Enter/comma/semicolon/paste, dedupes addresses, supports backspace-remove, and Cc/Bcc are toggleable","apps/x/apps/renderer/src/components/email-view.tsx:615; apps/x/apps/renderer/src/components/email-view.tsx:871","Tested","Pass (traced)","","",""
"F208","Email","Subject auto-prefix","As a user, I want Re:/Fwd: prefixes handled, so that subjects are correct without double prefixes","composeSubject adds ""Re:""/""Fwd:"" only when not already present; forward exposes an editable subject field","apps/x/apps/renderer/src/components/email-view.tsx:193; apps/x/apps/renderer/src/components/email-view.tsx:885","Tested","Pass (traced)","","",""
"F209","Email","Rich-text compose toolbar","As a user, I want formatting controls in the composer, so that I can write formatted replies","ComposeToolbar (TipTap) offers bold, italic, strikethrough, bullet/numbered lists, blockquote, and a link popover","apps/x/apps/renderer/src/components/email-view.tsx:547; apps/x/apps/renderer/src/components/email-view.tsx:762","Tested","Pass (traced)","","",""
"F210","Email","Send reply via Gmail","As a user, I want to send my reply through Gmail, so that it threads correctly with proper headers","sendInGmail validates body/recipients and calls gmail:sendReply with To/Cc/Bcc, subject, HTML+text, and In-Reply-To/References chain (omitted for forwards)","apps/x/apps/renderer/src/components/email-view.tsx:786; apps/x/apps/main/src/ipc.ts:802","Tested","Pass (traced)","","",""
"F211","Email","Draft prefill from AI/Gmail draft","As a user, I want existing drafts pre-loaded, so that I continue from my own or an AI-suggested draft","Reply/reply-all compose seeds content from thread.gmail_draft (user's own) preferred over draft_response (AI), with quoted text stripped","apps/x/apps/renderer/src/components/email-view.tsx:717","Tested","Pass (traced)","","",""
"F212","Email","Refine draft with Copilot","As a user, I want to refine my draft via Copilot, so that I can improve wording with AI help","The Refine button builds a thread+draft prompt onto window.__pendingEmailDraft and dispatches email-block:draft-with-assistant, which App opens in the chat sidebar","apps/x/apps/renderer/src/components/email-view.tsx:834; apps/x/apps/renderer/src/App.tsx:5847","Tested","Pass (traced)","","",""
"F213","Email","Search loaded mail","As a user, I want to filter loaded threads, so that I can quickly find a conversation","The top-bar search filters loaded threads client-side by subject, from, to, and latest body","apps/x/apps/renderer/src/components/email-view.tsx:1466; apps/x/apps/renderer/src/components/email-view.tsx:1563","Tested","Pass (traced)","","",""
"F214","Email","Manual refresh / background sync","As a user, I want a refresh button, so that I can pull new mail on demand","The refresh button calls gmail:triggerSync to wake the background sync loop; the watcher then picks up new inbox_lists files (spinner shown briefly)","apps/x/apps/renderer/src/components/email-view.tsx:1438; apps/x/apps/main/src/ipc.ts:798","Tested","Pass (traced)","","",""
"F215","Email","Live inbox updates","As a user, I want my inbox to update in place as sync runs, so that I see new mail without manual reloads","A throttled watcher on inbox_lists/ triggers silent section reloads, suppressed while a thread is open and flushed on close","apps/x/apps/renderer/src/components/email-view.tsx:1385; apps/x/apps/renderer/src/components/email-view.tsx:1399","Tested","Pass (traced)","","",""
"F216","Email","Hover image prefetch","As a user, I want thread images to load instantly when I open them, so that reading feels fast","Hovering a row for ~180ms prefetches up to 12 of the thread's image URLs (no-referrer)","apps/x/apps/renderer/src/components/email-view.tsx:1250; apps/x/apps/renderer/src/components/email-view.tsx:236","Tested","Pass (traced)","","",""
"F217","Email","Persisted message body height","As a user, I want email layout to stay stable across opens, so that bodies don't jump while resizing","Measured iframe body height is debounced-saved via gmail:saveMessageHeight and restored as the initial height","apps/x/apps/renderer/src/components/email-view.tsx:414; apps/x/apps/main/src/ipc.ts:820","Tested","Pass (traced)","","",""
"F218","Email","Deep-link to a thread","As a user, I want to open a specific thread from elsewhere, so that links/actions can jump straight to a conversation","EmailView accepts initialThreadId/threadIdVersion to open and focus a given thread on mount and on re-focus","apps/x/apps/renderer/src/components/email-view.tsx:1109; apps/x/apps/renderer/src/App.tsx:6688","Tested","Pass (traced)","","",""
"F219","Home","Time-of-day greeting + date header","As a user, I want a personalized greeting with today's date when I open Home, so that the dashboard feels contextual and oriented to my day.","Renders ""Good morning/afternoon/evening"" based on local hour plus a short weekday/day/month date label at the top of the Home dashboard.","apps/x/apps/renderer/src/components/home-view.tsx:82; apps/x/apps/renderer/src/components/home-view.tsx:451","Tested","Pass (traced)","","",""
"F220","Home","Up-next meeting hero with Take notes / Join","As a user, I want my next upcoming meeting surfaced prominently with quick actions, so that I can start taking notes or join the call in one click.","Shows the soonest not-yet-ended calendar event (title, relative time, time range, location) with a ""Take notes"" button and, if a conference link exists, a Join button that opens the link.","apps/x/apps/renderer/src/components/home-view.tsx:461; apps/x/apps/renderer/src/components/home-view.tsx:363","Tested","Pass (traced)","","",""
"F221","Home","Inbox card (unread important email)","As a user, I want to see my unread important emails on Home, so that I can triage my inbox without leaving the dashboard.","Loads up to 25 important threads via gmail:getImportant, filters to unread, shows top 3 (sender + subject) with a ""new"" count badge; clicking any row or ""Open"" opens the Email view.","apps/x/apps/renderer/src/components/home-view.tsx:300; apps/x/apps/renderer/src/components/home-view.tsx:508","Verified","Issue found","E28","E28: Track the true unread count separately from the 3-item preview.","Verified — build green + adversarial code re-review"
"F222","Home","Background agents card","As a user, I want to see active background agents and recent runs on Home, so that I can monitor automations and create new ones.","Shows active agent count, the most-recently-run agent (status dot + relative last-run time) opening that agent on click, and a ""Create an agent"" link opening the agents view.","apps/x/apps/renderer/src/components/home-view.tsx:549; apps/x/apps/renderer/src/components/home-view.tsx:384","Tested","Pass (traced)","","",""
"F223","Home","Today's schedule card","As a user, I want today's remaining calendar events listed, so that I can see my schedule and capture notes per meeting.","Filters upcoming events to today, lists each with time range and a status dot, with hover actions ""Take notes"" and (if conference link) ""Join & take notes"" that trigger meeting capture.","apps/x/apps/renderer/src/components/home-view.tsx:374; apps/x/apps/renderer/src/components/home-view.tsx:598","Tested","Pass (traced)","","",""
"F224","Home","Recent activity card","As a user, I want my recently touched notes and chats interleaved on Home, so that I can jump back into recent work.","Merges the 2 most recently modified notes (excluding Meetings/Workspace) and last 4 chat runs, sorts by recency, shows top 4 with note/chat icons; clicking opens the note or run.","apps/x/apps/renderer/src/components/home-view.tsx:397; apps/x/apps/renderer/src/components/home-view.tsx:414","Tested","Pass (traced)","","",""
"F225","Home","Tool connections card","As a user, I want to see and manage connected integrations from Home, so that I can bring app context into the product.","If legacy integration vendor is configured, loads up to 8 toolkit logos (validating each image), shows them as icons, and a ""Connections"" link opens the Settings dialog on the connections tab.","apps/x/apps/renderer/src/components/home-view.tsx:320; apps/x/apps/renderer/src/components/home-view.tsx:687","Tested","Pass (traced)","","",""
"F226","Home","Ask anything / new chat CTA","As a user, I want a prominent prompt to start a chat from Home, so that I can quickly begin research or document collaboration.","Renders an ""Ask anything ... New chat"" card (when onOpenChat provided) that opens a new chat on click.","apps/x/apps/renderer/src/components/home-view.tsx:728","Tested","Pass (traced)","","",""
"F227","Home","Suggested Topics view (track to start note)","As a user, I want AI-suggested topics from my knowledge graph that I can track, so that I can spin up tracking notes on relevant subjects.","SuggestedTopicsView reads suggested-topics.md (migrating legacy paths), parses suggestedtopic blocks into category-colored cards, and ""Track"" removes the topic from the file and calls onExploreTopic to start a note.","apps/x/apps/renderer/src/components/suggested-topics-view.tsx:120; apps/x/apps/renderer/src/components/suggested-topics-view.tsx:184","Tested","Pass (traced)","","",""
